Booking_ID,Booking_Date,Booking_Time,Customer_ID,Driver_ID,Pickup_Location,Drop_Location,Ride_Distance_km,Ride_Duration_min,Fare_Amount,Payment_Method,Ride_Status,Driver_Rating,Customer_Rating
BK1033,2025-01-21,13:42:37,CUST423,DRV367,IT Park,Hotel,18.75,51.29,319.85,UPI,Completed,4.3,4.1
BK1034,2025-03-09,12:08:42,CUST568,DRV423,Railway Station,Airport,4.08,14.98,59.43,Card,Completed,3.4,3.1
BK1035,2025-06-09,18:06:04,CUST618,DRV371,Mall,Hotel,15.59,52.31,189.15,UPI,Completed,4.0,3.5
BK1036,2025-03-04,11:18:10,CUST656,DRV820,Hospital,Airport,16.84,39.55,295.16,Cash,Completed,3.8,4.9
BK1037,2025-05-22,09:59:42,CUST999,DRV237,Hospital,Railway Station,5.16,13.84,66.6,UPI,Completed,4.8,4.8
BK1038,2025-05-22,04:17:18,CUST834,DRV451,IT Park,Hospital,7.93,26.33,147.0,Cash,Completed,4.1,4.1
BK1039,2025-05-06,08:57:58,CUST194,DRV749,Bus Stand,Hospital,7.56,16.53,144.98,UPI,Completed,4.8,4.3
BK1040,2025-01-01,10:49:08,CUST368,DRV265,College,Bus Stand,9.8,26.44,174.51,Cash,Completed,4.8,4.8
BK1041,2025-01-03,03:04:56,CUST252,DRV658,Airport,Hotel,19.94,65.48,252.7,Cash,Completed,3.3,4.8
BK1042,2025-05-22,04:27:08,CUST473,DRV915,Airport,Hotel,15.95,32.19,204.35,UPI,Completed,4.3,3.0
BK1043,2025-06-24,07:42:06,CUST673,DRV995,Bus Stand,Mall,5.7,17.66,99.95,UPI,Completed,4.3,3.4
BK1044,2025-02-11,05:56:26,CUST854,DRV440,Bus Stand,IT Park,18.38,45.48,268.41,Card,Completed,4.5,4.3
BK1045,2025-02-10,22:06:24,CUST979,DRV581,IT Park,IT Park,21.53,71.38,356.25,Card,Cancelled,,
BK1046,2025-03-31,09:52:50,CUST328,DRV124,IT Park,Bus Stand,4.15,11.35,58.6,Card,Cancelled,,
BK1047,2025-03-13,02:49:17,CUST621,DRV509,Hotel,Airport,7.61,30.03,115.25,UPI,Completed,4.8,4.3
BK1048,2025-03-08,05:37:16,CUST710,DRV544,Hotel,Hotel,20.28,60.95,336.96,Card,Completed,4.0,3.4
BK1049,2025-06-05,16:07:24,CUST294,DRV360,Airport,Bus Stand,18.62,47.7,227.06,UPI,Cancelled,,
BK1050,2025-05-14,17:43:46,CUST854,DRV786,IT Park,Hotel,16.85,39.67,328.97,Card,Cancelled,,
BK1051,2025-01-18,21:58:21,CUST779,DRV968,Railway Station,Hospital,23.94,91.68,358.17,Cash,Completed,3.0,4.9
BK1052,2025-03-21,21:26:20,CUST402,DRV667,Mall,IT Park,11.85,46.61,233.55,Card,Completed,4.7,3.6
BK1053,2025-06-20,12:43:47,CUST730,DRV682,Hospital,Bus Stand,10.86,40.21,157.85,Cash,Cancelled,,
BK1054,2025-01-01,09:18:13,CUST693,DRV721,Hotel,College,5.9,18.37,114.99,Card,Completed,4.4,4.1
BK1055,2025-04-24,21:13:32,CUST915,DRV853,Mall,Railway Station,4.24,13.7,84.46,Card,Completed,3.3,4.0
BK1056,2025-05-12,21:40:39,CUST938,DRV869,IT Park,Hospital,22.18,77.22,389.84,UPI,Completed,4.4,3.7
BK1057,2025-02-20,04:01:02,CUST586,DRV725,Railway Station,College,8.75,31.66,161.71,Card,Completed,4.7,4.8
BK1058,2025-06-11,18:12:45,CUST606,DRV509,IT Park,Mall,13.76,41.32,253.0,Cash,Completed,4.3,4.4
BK1059,2025-06-26,00:57:48,CUST209,DRV897,Bus Stand,IT Park,20.3,76.73,298.49,UPI,Cancelled,,
BK1060,2025-06-28,16:29:03,CUST968,DRV224,College,Mall,10.64,23.28,176.9,Card,Completed,3.1,3.9
BK1061,2025-06-20,16:35:38,CUST873,DRV553,Bus Stand,College,14.48,37.26,242.2,UPI,Completed,3.1,3.1
BK1062,2025-05-02,14:16:48,CUST752,DRV383,College,IT Park,20.92,56.91,272.3,Card,Completed,4.0,4.5
BK1063,2025-04-23,02:45:18,CUST443,DRV427,Railway Station,Mall,6.96,22.59,88.27,UPI,Completed,3.1,4.1
BK1064,2025-03-01,12:44:09,CUST165,DRV524,Bus Stand,Hotel,14.43,47.26,256.98,Cash,Completed,5.0,4.0
BK1065,2025-04-30,13:03:13,CUST498,DRV888,Airport,Bus Stand,9.43,33.86,133.59,Card,Completed,3.9,3.2
BK1066,2025-01-02,11:19:48,CUST955,DRV529,IT Park,College,2.58,10.13,48.21,UPI,Completed,4.4,3.8
BK1067,2025-03-11,13:31:01,CUST784,DRV795,Bus Stand,Mall,5.99,13.85,83.87,Card,Completed,4.1,4.4
BK1068,2025-02-02,19:34:01,CUST706,DRV677,Airport,Railway Station,17.18,43.98,337.4,Cash,Cancelled,,
BK1069,2025-04-20,04:55:29,CUST366,DRV488,Hotel,IT Park,18.97,58.97,320.47,Card,Completed,3.8,3.5
BK1070,2025-03-25,10:48:56,CUST870,DRV951,Bus Stand,Hospital,10.19,35.82,123.45,UPI,Completed,3.2,3.1
BK1071,2025-05-01,00:47:34,CUST458,DRV329,Railway Station,Airport,2.94,10.91,51.83,UPI,Completed,3.9,3.2
BK1072,2025-03-05,06:53:01,CUST344,DRV229,College,Railway Station,13.31,39.22,178.16,Cash,Completed,3.9,3.8
BK1073,2025-02-25,14:44:16,CUST271,DRV720,Railway Station,Mall,16.16,52.85,199.78,Card,Completed,3.7,4.3
BK1074,2025-01-28,18:01:59,CUST793,DRV484,Bus Stand,IT Park,13.57,50.39,234.35,UPI,Completed,3.3,3.1
BK1075,2025-06-01,22:53:40,CUST813,DRV891,Hospital,Railway Station,16.78,34.45,279.99,Cash,Completed,4.9,4.2
BK1076,2025-01-11,11:34:27,CUST170,DRV618,Hotel,Airport,10.93,35.92,171.23,Card,Completed,4.1,4.9
BK1077,2025-05-06,03:27:23,CUST948,DRV570,Mall,Bus Stand,10.88,42.68,209.36,UPI,Completed,3.4,3.1
BK1078,2025-05-14,20:17:39,CUST651,DRV893,College,College,4.32,8.8,55.1,Card,Completed,4.4,3.1
BK1079,2025-06-01,08:20:54,CUST188,DRV385,College,IT Park,9.34,34.46,113.82,Card,Completed,4.6,3.6
BK1080,2025-05-26,19:42:24,CUST606,DRV971,Hotel,Mall,4.72,16.02,80.39,Card,Completed,4.8,4.5
BK1081,2025-02-24,11:51:16,CUST710,DRV818,Hospital,Airport,20.48,52.51,274.83,Cash,Completed,4.5,4.6
BK1082,2025-02-18,02:15:46,CUST668,DRV876,IT Park,College,24.78,70.01,371.11,Cash,Completed,4.6,3.7
BK1083,2025-05-06,14:50:01,CUST326,DRV514,IT Park,Hospital,23.41,87.01,361.26,Cash,Completed,4.5,4.5
BK1084,2025-05-29,11:30:35,CUST535,DRV863,Hotel,Hotel,4.37,16.63,70.1,Cash,Completed,4.7,3.6
BK1085,2025-04-27,08:19:16,CUST838,DRV297,Hotel,Railway Station,22.6,62.79,273.16,Cash,Completed,4.8,3.2
BK1086,2025-05-18,22:11:12,CUST595,DRV383,Hospital,Railway Station,9.34,36.43,183.11,UPI,Completed,4.1,4.3
BK1087,2025-03-17,07:23:11,CUST825,DRV646,Mall,Hospital,12.31,31.84,180.09,UPI,Completed,4.3,4.5
BK1088,2025-01-14,17:18:44,CUST753,DRV989,College,Railway Station,20.21,72.34,257.27,UPI,Cancelled,,
BK1089,2025-05-27,09:30:30,CUST288,DRV152,Hospital,College,13.37,28.28,219.22,UPI,Completed,3.9,4.8
BK1090,2025-01-17,12:31:04,CUST802,DRV154,Mall,Mall,10.07,22.5,132.36,Cash,Completed,4.5,4.2
BK1091,2025-03-19,02:15:07,CUST526,DRV720,IT Park,Bus Stand,4.33,9.39,76.24,Card,Completed,3.1,4.6
BK1092,2025-04-24,09:55:37,CUST412,DRV682,Airport,Railway Station,18.24,39.45,231.26,UPI,Cancelled,,
BK1093,2025-06-10,06:16:42,CUST345,DRV277,Railway Station,Mall,24.69,67.86,369.49,UPI,Completed,4.6,4.9
BK1094,2025-04-15,14:44:38,CUST133,DRV337,Hospital,Hospital,24.68,86.55,370.45,Cash,Completed,3.2,4.6
BK1095,2025-04-27,02:43:14,CUST906,DRV910,IT Park,Bus Stand,14.84,42.27,285.68,UPI,Cancelled,,
BK1096,2025-05-20,07:41:09,CUST946,DRV245,Railway Station,Airport,4.56,13.61,55.13,UPI,Cancelled,,
BK1097,2025-03-20,19:47:52,CUST395,DRV549,Railway Station,College,12.78,27.0,165.51,Cash,Completed,3.2,4.3
BK1098,2025-03-19,22:25:17,CUST605,DRV548,Railway Station,Airport,19.16,60.67,377.4,Card,Completed,3.7,3.6
BK1099,2025-03-24,19:16:01,CUST790,DRV956,Airport,Hospital,21.98,53.79,433.13,Cash,Completed,3.0,4.9
BK1100,2025-01-11,05:30:33,CUST384,DRV285,Bus Stand,College,2.99,11.31,48.5,UPI,Completed,5.0,3.1
BK1101,2025-05-01,11:26:21,CUST207,DRV978,Mall,Hotel,14.74,58.06,238.56,Card,Completed,4.3,4.4
BK1102,2025-06-27,15:18:42,CUST933,DRV878,Airport,College,12.45,40.53,207.6,UPI,Cancelled,,
BK1103,2025-03-22,08:20:07,CUST513,DRV985,Airport,College,22.73,47.53,323.85,Card,Cancelled,,
BK1104,2025-01-14,06:33:23,CUST610,DRV740,College,Airport,23.86,90.2,373.3,UPI,Completed,4.2,3.6
BK1105,2025-03-10,17:08:59,CUST815,DRV596,Railway Station,Airport,6.33,18.53,93.85,Cash,Completed,4.2,3.2
BK1106,2025-06-05,07:45:10,CUST114,DRV665,Bus Stand,Railway Station,24.41,96.97,429.26,UPI,Completed,4.1,3.6
BK1107,2025-01-30,14:07:41,CUST610,DRV833,Hospital,Hospital,20.72,69.82,275.6,Card,Completed,4.8,4.6
BK1108,2025-05-04,15:15:29,CUST492,DRV295,Mall,Railway Station,23.85,82.32,403.24,Card,Completed,3.8,4.9
BK1109,2025-04-17,10:59:50,CUST940,DRV102,Hospital,Hospital,21.92,45.82,267.66,Cash,Completed,3.8,4.6
BK1110,2025-05-29,21:31:55,CUST651,DRV595,Hotel,Hotel,24.71,56.85,413.97,Cash,Completed,3.8,4.9
BK1111,2025-05-20,12:29:59,CUST293,DRV814,IT Park,Bus Stand,21.37,78.57,336.57,UPI,Completed,3.8,3.5
BK1112,2025-04-16,01:20:47,CUST930,DRV490,Bus Stand,Mall,3.3,12.31,61.06,Card,Completed,5.0,5.0
BK1113,2025-01-10,04:32:37,CUST202,DRV995,College,Railway Station,14.77,52.26,288.87,Cash,Completed,4.7,3.5
BK1114,2025-04-27,00:46:09,CUST770,DRV258,Railway Station,College,12.36,27.91,242.66,Card,Completed,4.2,3.5
BK1115,2025-03-28,19:44:25,CUST972,DRV436,Bus Stand,Hotel,17.45,56.47,259.4,Cash,Completed,3.2,4.3
BK1116,2025-05-05,17:02:39,CUST746,DRV800,Hospital,IT Park,13.97,49.52,225.77,Cash,Completed,4.7,4.1
BK1117,2025-01-24,13:06:48,CUST993,DRV202,College,Mall,14.9,55.92,226.9,Cash,Completed,3.3,3.1
BK1118,2025-03-18,00:02:20,CUST400,DRV467,Hotel,Bus Stand,19.37,62.77,341.54,UPI,Completed,3.4,3.3
BK1119,2025-03-04,16:26:36,CUST284,DRV274,Mall,Railway Station,2.33,6.29,38.96,Cash,Completed,3.8,3.9
BK1120,2025-04-08,19:43:15,CUST697,DRV246,IT Park,College,22.8,61.48,367.35,Cash,Completed,4.6,3.8
BK1121,2025-03-07,14:16:42,CUST923,DRV576,Hospital,Mall,16.31,60.75,319.61,UPI,Completed,3.3,4.9
BK1122,2025-04-24,11:37:19,CUST534,DRV806,Hospital,College,13.32,33.52,208.77,Card,Completed,5.0,4.0
BK1123,2025-02-20,12:54:30,CUST490,DRV685,Hotel,Hospital,9.56,31.23,133.09,Cash,Completed,3.2,3.3
BK1124,2025-03-17,00:53:42,CUST108,DRV679,Airport,College,4.95,11.4,64.9,Card,Completed,4.3,3.4
BK1125,2025-02-28,19:51:22,CUST294,DRV735,Hospital,Mall,9.95,37.75,157.13,Cash,Completed,4.3,3.3
BK1126,2025-01-25,20:41:02,CUST551,DRV134,Hotel,Mall,6.42,13.36,85.72,UPI,Completed,3.6,3.4
BK1127,2025-03-17,10:47:26,CUST235,DRV905,Hotel,Hospital,4.04,9.05,63.37,UPI,Completed,3.4,3.7
BK1128,2025-03-07,15:51:18,CUST446,DRV923,Railway Station,College,13.58,45.91,167.23,UPI,Completed,4.6,4.3
BK1129,2025-02-06,07:55:43,CUST506,DRV966,Hotel,Railway Station,3.88,14.54,75.14,Card,Completed,3.1,3.6
BK1130,2025-01-04,08:34:07,CUST788,DRV866,Hospital,Bus Stand,20.54,71.82,276.8,Cash,Completed,3.4,3.7
BK1131,2025-04-06,03:43:14,CUST734,DRV674,Hotel,IT Park,13.14,42.53,196.46,Cash,Completed,3.9,4.5
BK1132,2025-01-17,20:52:29,CUST409,DRV764,Bus Stand,Railway Station,2.84,7.11,50.29,UPI,Cancelled,,
BK1133,2025-01-12,01:19:31,CUST340,DRV650,Mall,Bus Stand,22.59,68.3,367.24,Card,Completed,3.2,3.9
BK1134,2025-04-05,21:47:44,CUST529,DRV701,Mall,Bus Stand,14.25,35.41,201.69,Cash,Cancelled,,
BK1135,2025-01-26,15:39:26,CUST386,DRV133,Hotel,IT Park,10.68,21.79,155.68,Card,Cancelled,,
BK1136,2025-04-24,07:54:23,CUST802,DRV476,Hotel,Airport,6.86,18.21,88.89,Card,Completed,4.8,4.2
BK1137,2025-03-12,06:07:54,CUST193,DRV778,IT Park,Airport,17.62,63.05,281.7,UPI,Completed,3.2,4.1
BK1138,2025-03-27,07:08:50,CUST170,DRV949,IT Park,IT Park,15.5,54.11,239.53,UPI,Completed,3.3,3.6
BK1139,2025-03-26,04:50:57,CUST383,DRV979,Mall,Mall,10.35,34.07,171.46,Cash,Completed,3.7,5.0
BK1140,2025-03-06,05:07:42,CUST234,DRV115,Hotel,IT Park,15.93,39.42,204.13,Cash,Cancelled,,
BK1141,2025-03-24,00:11:16,CUST859,DRV531,Railway Station,Railway Station,5.52,13.76,73.34,Card,Completed,3.4,3.6
BK1142,2025-04-25,11:32:37,CUST615,DRV326,Airport,Hospital,5.99,22.72,75.72,Card,Completed,4.0,3.8
BK1143,2025-06-14,00:03:30,CUST536,DRV802,Railway Station,College,24.59,54.69,373.35,Cash,Completed,4.9,4.7
BK1144,2025-04-24,02:57:05,CUST251,DRV167,Mall,Hospital,20.79,52.3,277.9,Cash,Completed,4.3,4.9
BK1145,2025-06-12,18:35:45,CUST711,DRV643,Hospital,College,14.81,46.55,210.89,Cash,Completed,4.5,3.4
BK1146,2025-06-04,13:06:50,CUST973,DRV770,IT Park,Bus Stand,9.44,26.91,151.61,Card,Completed,3.5,3.2
BK1147,2025-02-28,13:21:52,CUST525,DRV847,Railway Station,Hotel,16.04,41.34,267.06,Card,Completed,3.3,4.0
BK1148,2025-03-22,21:16:23,CUST803,DRV585,Railway Station,Railway Station,14.25,29.98,209.37,UPI,Cancelled,,
BK1149,2025-01-24,13:06:47,CUST931,DRV233,Airport,Hotel,5.09,10.83,101.39,Cash,Completed,3.6,4.6
BK1150,2025-02-01,13:22:55,CUST868,DRV533,Airport,Hospital,7.86,26.43,142.12,Cash,Completed,4.2,3.9
BK1151,2025-03-21,11:06:36,CUST258,DRV772,College,IT Park,11.47,30.94,222.93,UPI,Completed,4.7,4.9
BK1152,2025-03-31,17:23:07,CUST687,DRV331,Bus Stand,Airport,4.86,16.82,94.8,Cash,Completed,3.4,3.1
BK1153,2025-06-18,22:17:01,CUST819,DRV880,Hospital,Hotel,19.05,59.99,356.89,Card,Completed,3.3,4.6
BK1154,2025-01-02,05:55:09,CUST510,DRV171,Mall,Airport,6.64,15.45,88.41,UPI,Completed,4.6,4.3
BK1155,2025-05-16,06:24:26,CUST261,DRV478,Hospital,Hotel,14.03,38.13,266.82,Cash,Completed,3.8,4.6
BK1156,2025-06-02,02:56:03,CUST872,DRV732,Airport,Railway Station,12.1,33.32,189.99,Card,Completed,3.6,4.5
BK1157,2025-04-24,21:27:31,CUST524,DRV379,IT Park,Railway Station,13.56,33.42,260.31,Card,Completed,3.8,4.1
BK1158,2025-04-21,03:18:43,CUST598,DRV639,Hospital,Airport,22.85,74.23,295.57,UPI,Completed,4.9,4.3
BK1159,2025-04-12,19:03:00,CUST316,DRV885,Mall,Hospital,9.7,22.1,178.02,Card,Completed,4.2,4.1
BK1160,2025-03-25,03:00:31,CUST279,DRV232,Bus Stand,IT Park,22.56,80.7,298.09,Cash,Completed,3.6,3.5
BK1161,2025-05-24,21:51:22,CUST982,DRV859,Airport,Bus Stand,19.11,39.5,316.44,UPI,Completed,4.5,4.8
BK1162,2025-04-28,02:55:20,CUST687,DRV514,Bus Stand,Hospital,9.87,35.95,127.18,UPI,Completed,4.7,3.3
BK1163,2025-04-14,00:20:10,CUST732,DRV571,Hotel,Railway Station,11.14,40.04,147.04,Card,Completed,3.5,4.4
BK1164,2025-01-28,07:27:37,CUST180,DRV505,Hospital,Hotel,18.56,60.92,325.76,UPI,Completed,4.1,3.5
BK1165,2025-03-27,05:04:32,CUST643,DRV622,IT Park,Hotel,9.95,23.51,191.71,Card,Completed,4.2,3.8
BK1166,2025-06-15,04:15:06,CUST302,DRV277,Mall,Railway Station,12.63,49.19,167.05,UPI,Completed,4.2,4.0
BK1167,2025-06-10,15:29:48,CUST693,DRV559,Hotel,Hotel,16.06,32.7,304.77,UPI,Completed,4.9,4.1
BK1168,2025-04-23,02:30:28,CUST915,DRV381,Airport,Hotel,18.02,69.29,318.2,Cash,Completed,3.3,4.2
BK1169,2025-01-19,09:29:28,CUST477,DRV951,Hospital,Railway Station,15.95,45.43,285.37,Cash,Completed,4.9,4.9
BK1170,2025-01-24,19:38:32,CUST694,DRV667,Airport,College,12.37,27.54,245.9,Cash,Completed,4.7,3.2
BK1171,2025-06-16,06:20:38,CUST254,DRV163,College,Railway Station,23.18,86.69,374.37,Card,Completed,4.2,3.8
BK1172,2025-01-22,16:41:11,CUST824,DRV548,College,Mall,3.26,8.71,60.06,Card,Completed,3.0,3.7
BK1173,2025-04-06,09:24:26,CUST795,DRV712,Airport,Hotel,11.16,34.31,216.04,UPI,Completed,3.7,3.7
BK1174,2025-03-26,03:35:43,CUST358,DRV841,Mall,Hotel,18.96,55.07,261.59,UPI,Completed,3.9,3.3
BK1175,2025-05-30,21:09:58,CUST771,DRV815,Bus Stand,Mall,6.06,18.16,93.03,Cash,Completed,4.8,3.7
BK1176,2025-01-22,09:35:24,CUST436,DRV932,Mall,Railway Station,15.35,50.11,185.81,Cash,Completed,4.3,3.4
BK1177,2025-06-21,13:32:23,CUST416,DRV284,IT Park,Hotel,24.1,55.37,369.14,Card,Completed,3.2,5.0
BK1178,2025-02-19,07:08:09,CUST964,DRV907,Railway Station,Airport,13.55,43.23,169.87,Cash,Completed,4.5,3.4
BK1179,2025-03-28,19:08:38,CUST266,DRV285,Mall,College,22.66,54.62,306.49,UPI,Completed,3.1,3.9
BK1180,2025-04-16,11:43:46,CUST554,DRV725,Hospital,College,14.99,31.95,272.88,UPI,Completed,3.9,4.0
BK1181,2025-05-17,07:19:51,CUST955,DRV298,Hotel,College,12.14,34.01,200.03,Card,Completed,3.3,3.4
BK1182,2025-03-14,12:32:33,CUST265,DRV936,IT Park,Mall,21.82,84.93,327.0,Card,Completed,3.5,4.3
BK1183,2025-01-14,20:30:55,CUST205,DRV828,Railway Station,Hospital,11.4,23.38,151.04,UPI,Completed,4.4,4.3
BK1184,2025-02-11,08:28:57,CUST950,DRV547,Railway Station,IT Park,2.62,6.4,36.28,Card,Completed,4.3,3.0
BK1185,2025-03-31,00:26:03,CUST482,DRV341,Bus Stand,Railway Station,4.39,15.8,58.95,Card,Completed,4.3,3.5
BK1186,2025-02-27,00:20:59,CUST831,DRV765,Hotel,Mall,4.29,10.67,76.27,UPI,Completed,4.7,4.7
BK1187,2025-01-10,09:58:53,CUST951,DRV242,College,College,11.14,37.16,151.95,Cash,Completed,3.6,4.8
BK1188,2025-01-02,02:01:16,CUST253,DRV661,Bus Stand,Railway Station,2.3,4.99,31.43,Card,Completed,3.1,3.4
BK1189,2025-03-02,09:07:03,CUST754,DRV912,College,Railway Station,15.41,43.81,294.97,UPI,Completed,4.6,3.7
BK1190,2025-05-08,19:34:01,CUST688,DRV347,Mall,Hospital,7.97,21.99,133.28,Card,Completed,3.5,4.2
BK1191,2025-01-01,19:22:15,CUST291,DRV780,Railway Station,Hotel,11.42,35.45,176.88,UPI,Completed,3.6,4.9
BK1192,2025-05-15,17:32:50,CUST667,DRV120,Bus Stand,College,19.56,44.6,370.62,UPI,Cancelled,,
BK1193,2025-06-12,12:23:16,CUST465,DRV907,Railway Station,Hotel,13.21,50.05,243.05,UPI,Completed,3.9,3.0
BK1194,2025-06-18,20:06:49,CUST874,DRV440,Mall,Airport,8.18,25.22,139.61,Card,Completed,3.5,3.3
BK1195,2025-05-20,10:52:41,CUST897,DRV801,College,College,21.2,84.14,343.56,Cash,Completed,3.3,3.5
BK1196,2025-02-16,04:04:45,CUST568,DRV137,Hospital,IT Park,2.42,9.27,31.32,UPI,Completed,4.2,3.5
BK1197,2025-02-21,01:20:59,CUST507,DRV934,College,Hospital,14.75,48.72,274.91,UPI,Completed,3.4,3.0
BK1198,2025-06-15,06:18:22,CUST148,DRV986,Hotel,Hospital,5.15,19.57,97.8,UPI,Cancelled,,
BK1199,2025-04-05,13:56:25,CUST495,DRV447,Mall,College,15.74,50.38,272.62,Cash,Completed,3.4,4.8
BK1200,2025-05-08,11:59:51,CUST920,DRV184,Bus Stand,Railway Station,11.63,32.17,187.84,Card,Completed,3.1,3.3
BK1201,2025-06-04,05:34:18,CUST181,DRV435,Hospital,Hospital,18.97,41.08,319.17,Card,Completed,3.5,3.8
BK1202,2025-06-04,22:27:10,CUST459,DRV557,Airport,Hotel,8.64,23.43,153.38,Cash,Completed,3.6,4.1
BK1203,2025-04-22,08:40:50,CUST176,DRV787,Bus Stand,Hotel,12.95,43.09,252.46,Cash,Cancelled,,
BK1204,2025-06-23,05:01:09,CUST794,DRV900,College,Airport,18.85,45.8,230.9,UPI,Completed,3.5,4.2
BK1205,2025-01-18,07:49:41,CUST492,DRV680,Airport,Mall,3.18,9.52,53.34,Cash,Completed,3.7,4.5
BK1206,2025-04-26,11:23:28,CUST687,DRV240,Hotel,Bus Stand,4.45,9.57,79.32,Card,Completed,4.0,4.4
BK1207,2025-06-16,08:15:07,CUST290,DRV611,Bus Stand,Railway Station,12.0,29.91,222.63,Card,Completed,4.6,4.4
BK1208,2025-03-08,22:28:13,CUST392,DRV810,College,IT Park,8.26,26.27,122.97,UPI,Cancelled,,
BK1209,2025-02-04,02:28:11,CUST555,DRV189,Hotel,Hotel,4.11,15.76,53.82,Cash,Cancelled,,
BK1210,2025-01-17,17:34:18,CUST971,DRV261,Mall,Hotel,23.86,69.0,321.66,Cash,Cancelled,,
BK1211,2025-02-27,03:12:50,CUST909,DRV605,Airport,Hotel,14.46,54.17,258.22,Cash,Completed,4.6,4.3
BK1212,2025-05-27,11:29:51,CUST232,DRV726,Railway Station,Railway Station,17.92,66.28,250.83,Card,Cancelled,,
